10,MZ Skin Hyaluronic Acid Hydrating Serum 30ml,$165.00,None,None,None,"['Water (Aqua)', ' Propanediol', ' Panthenol', ' Glycerin', ' Pyrus Malus (Apple) Fruit Extract', ' Sodium Polyacryloyldimethyl Taurate', ' Ethylhexylglycerin', ' Gluconolactone', ' Tremella Fuciformis (Mushroom) Extract', ' Potassium Sorbate', ' Pentylene Glycol', ' Sodium Benzoate', ' Sodium Phytate', ' Ganoderma Lucidum (Mushroom) Extract', ' Sodium Acetylated Hyaluronate', ' Sodium Hyaluronate', ' Citric Acid', ' Biosaccharide Gum-1', ' Hydrolyzed Hyaluronic Acid', ' Sodium Hyaluronate Crosspolymer', ' Sodium Levulinate', ' Calcium Gluconate', ' Glyceryl Caprylate', ' Hydrolyzed Sodium Hyaluronate', ' Sodium Anisate.']",MZ Skin,30ml
11,PCA SKIN Clearskin,$53.00,4.62,26,None,"['Water/Aqua/Eau', ' Cyclopentasiloxane', ' Ethylhexyl Isononanoate', ' Niacinamide', ' Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', ' Butylene Glycol', ' Phenoxyethanol', ' Bisabolol', ' Disodium EDTA', ' Citric Acid', ' Sodium Hydroxide', ' Iodopropynyl Butylcarbamate', ' Sclerotium Gum', ' Retinyl Palmitate', ' Borago Officinalis Seed Oil', ' Cucumis Sativus (Cucumber) Fruit Extract', ' Cymbopogon Schoenanthus Extract', ' Ruscus Aculeatus Root Extract', ' Wheat Amino Acids', ' Calendula Officinalis Flower Oil.']",PCA SKIN,None
12,SkinCeuticals C E Ferulic with 15% L-Ascorbic Acid Vitamin C Serum 30ml,$166.00,4.4,205,None,"['Water', ' Ethoxydiglycol', ' L-Ascorbic Acid', ' Propylene Glycol', ' Glycerin', ' Laureth-23', ' Alpha Tocopherol', ' Phenoxyethanol', ' Triethanolamine', ' Ferulic Acid', ' Panthenol', ' Sodium Hyaluronate.']",SkinCeuticals,1 fl.oz
13,Sunday Riley C.E.O. Glow Vitamin C + Turmeric Face Oil 35ml (Worth $94),$80.00,5.0,1,None,"['Water/Eau/Aqua', ' Tetrahexyldecyl Ascorbate', ' Squalane', ' Polyglyceryl-6 Distearate', ' Peg-8 Beeswax', ' Limonene', ' Citrus Sinesis (Sweet Orange) Oil', ' Citrus Tangerina Peel Oil', ' Glycine Soja Sterols', ' Ppg-12/Smdi Copolymer', ' Sodium Phytate', ' Tocopherol', ' Phenoxyethanol', ' Acetamidoethoxyethanol', ' Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', ' Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', ' Jojoba Esters', ' Glycolic Acid', ' Caprylyl Glycol', ' Cetyl Alcohol', ' Polyglyceryl-3 Beeswax', ' Chlorphenesin Glycerin', ' Polysorbate 60', ' Sorbitan Isostearate', ' Saccharide Isomerate', ' Linalool.']",Sunday Riley,1.18 fl. oz
14,SkinCeuticals Hyaluronic Acid Intensifier Hydrating Serum 1 fl. oz,$102.00,4.86,7,None,"['Aqua', ' Water', ' Eau', ' Cyclohexasiloxane', ' Glycerin', ' Alcohol Denat.', ' Hydroxypropyl Tetrahydropyrantriol', ' Propylene Glycol', ' Dipotassium Glycyrrhizate', ' Polysilicone-11', ' Polymethylsilsesquioxane', ' Sodium Hyaluronate', ' Dimethicone', ' Tocopherol', ' Phenoxyethanol', ' Capryloyl Salicylic Acid', ' Octyldodecanol', ' Bis-Peg', ' Ppg-16', ' 16', ' Peg', ' Ppg-16', ' 16 Dimethicone', ' Peg-20 Methyl Glucose Sesquistearate', ' Ammonium Polyacryloyldimethyl Taurate', ' Caprylyl Glycol', ' Xanthan Gum', ' Dextrin', ' Oryza Sativa Extract', ' Rice Extract', ' Disodium Edta', ' Caprylic', ' Capric Triglyceride', ' Sodium Hydroxide', ' Adenosine', ' Citrus Nobilis Peel Oil', ' Mandarin Orange Peel Oil', ' Limonene', ' T-Butyl Alcohol', ' Cellulose Acetate Butyrate', ' Polyphosphorylcholine Glycol Acrylate', ' Polyvinyl Alcohol', ' Sodium Chloride', ' Butylene Glycol', ' Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate.']",SkinCeuticals,1 fl. oz
15,NuFACE Mini Facial Toning Device,$209.00,4.24,66,None,"['Gel Primer: Water', ' 1', ' 2 Propanediol', ' Acrylic Acid Polymer', ' Caprylyl Glycol', ' Methylisothiazolinone', ' Cellulose Polymer']",NuFACE,Primer: 2oz
16,EltaMD UV Glow Broad-Spectrum SPF36+ Tinted Serum 1.7 oz,$38.50,4.0,1,None,['Active Ingredients: Zinc Oxide 20.15%'],EltaMD,1.7oz
17,La Roche-Posay Toleriane Hydrating Gentle Cleanser (Various Sizes),None,4.0,4,None,None,La Roche-Posay,None
18,SkinCeuticals Phyto A+ Brightening Treatment 1 fl. oz,$105.00,None,None,None,['Key Ingredients:'],SkinCeuticals,3oz
19,Glo Skin Beauty HA-Revive Hyaluronic Hydrator 50ml,$78.00,None,None,None,"['Phyto-Retinol: A plant-based alternative to vitamin A (retinol)', ' it has similar smoothing', ' refining', ' and elasticity-boosting benefits', ' with a more gentle sensitive skin-friendly approach.']",Glo Skin Beauty,None
20,The Ordinary Azelaic Acid Suspension 10% 30ml,$10.00,4.5,8,None,"['Aqua (Water)', ' Isodecyl Neopentanoate', ' Dimethicone', ' Azelaic Acid', ' Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer', ' Dimethyl Isosorbide', ' Hydroxyethyl Acryalte/Sodium Acryloyldimethyl Taurate Copolymer', ' Polysilicone-11', ' Isohexadecane', ' Tocopherol', ' Trisodium Ethylenediamine Disuccinate', ' Isoceteth-20', ' Polysorbate 60', ' Triethanolamine', ' Ethoxydiglycol', ' Phenoxyethanol', ' Chlorphenesin.']",The Ordinary,30ml
21,EltaMD UV Clear Broad-Spectrum SPF46,$37.00,4.54,24,None,['Key Ingredients:'],EltaMD,None
22,SkinCeuticals Phyto+ 30ml,$87.00,3.63,27,None,"['Aqua / Water / Eau', ' Glycerin', ' Propylene Glycol', ' Kojic Acid', ' Arbutin', ' Polysorbate 80', ' Phenoxyethanol', ' Citrus Grandis Extract / Grapefruit Fruit Extract', ' Parfum / Fragrance', ' Sodium Hyaluronate', ' Arctostaphylos Uva Ursi / Arctostaphylos Uva Ursi Leaf Extract', ' Thymus Vulgaris Extract / Thyme Extract', ' Cucumis Sativus (Cucumber) Seed Extract', ' Hydroxyethylcellulose', ' Ci 19140 / Yellow 5', ' Ci 42090 / Blue 1.']",SkinCeuticals,1 fl. oz
23,EltaMD UV Clear Tinted Broad-Spectrum SPF46,$39.00,4.57,7,None,['Key Ingredients:'],EltaMD,None
24,PCA SKIN Rejuvenating Serum,$98.00,5.0,4,None,"['Water/Aqua/Eau', ' SD Alcohol 40-B', ' Glycerin', ' Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', ' Gluconolactone', ' Polysorbate 20', ' Bisabolol', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Isomalt', ' Sodium PCA', ' Sodium Lactate', ' Sodium Benzoate', ' Caprylyl Glycol', ' 1', '2-Hexanediol', ' Mentha Piperita (Peppermint) Oil', ' Tocopherol', ' Squalane', ' Glutathione', ' Citrus Grandis (Grapefruit) Peel Oil', ' Citrus Aurantium Dulcis (Orange) Peel Oil', ' Phospholipids', ' Phytosterols', ' Tropolone', ' Epigallocatechin Gallate', ' Camellia Oleifera Leaf Extract', ' Aminomethyl Propanol', ' Tocotrienols', ' Squalene', ' Oryza Sativa (Rice) Bran Wax', ' Aloe Barbadensis Leaf Juice', ' Urea', ' Niacinamide', ' Glycine', ' Fructose', ' Vitis Vinifera (Grape) Fruit Cell Extract', ' Lecithin', ' Inositol', ' rh-Oligopeptide-1.']",PCA SKIN,None
25,Dermalogica Daily Superfoliant 2oz,$62.00,5.0,1,None,"['Microcrystalline Cellulose', ' Sodium Bicarbonate', ' Sodium Cocoyl Glutamate', ' Sodium Myristoyl Glutamate', ' Malic Acid', ' Sodium Methyl Cocoyl\xa0Taurate', ' Charcoal Powder', ' Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer', ' Maltodextrin', ' Silica', ' Magnesium Oxide', ' Oryza Sativa\xa0(Rice) Bran Extract', ' Polymethylsilsesquioxane', ' Sapindus Trifoliatus Fruit Extract', ' Niacinamide', ' Citrus Aurantium Amara (Bitter Orange)\xa0Peel Oil', ' Zingiber Of cinale (Ginger) Root Extract', ' Lavandula Angustifolia (Lavender) Oil', ' Lavandula Hybrida Oil', ' Camellia Sinensis\xa0Leaf', ' Kappaphycus Alvarezii Extract', ' Caesalpinia Spinosa Fruit Pod Extract', ' Citrus Limon (Lemon) Peel Oil', ' Rosmarinus Of cinalis\xa0(Rosemary) Leaf Oil', ' Salvia Of cinalis (Sage) Oil', ' Subtilisin', ' Lipase', ' Papain', ' Lactic Acid', ' Oryza Sativa (Rice) Starch', ' Sodium\xa0Chloride', ' Sodium Dehydroacetate', ' Xanthan Gum', ' Water/Aqua/Eau', ' Coconut Acid', ' Calcium Lactate', ' Capryloyl Glycine', ' Undecylenoyl Glycine', '\xa0Cetrimonium Chloride', ' Limonene', ' Linalool.']",Dermalogica,57g
26,Medik8 Advanced Night Ceramide Cream 48g,$69.00,5.0,2,None,"['Water', ' Squalane', ' Caprylic/Capric Triglyceride', ' Dimethicone', ' Glycerin', ' Stearic Acid', ' Propylene Glycol', ' Phytosterols', ' C12-16 Alcohols', ' Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', ' Cetearyl Alcohol', ' Palmitic Acid', ' Ceramide NP', ' Cetearyl Olivate', ' Linoleic Acid', ' Behenyl Alcohol', ' Hydrogenated Lecithin', ' Tocopheryl Acetate', ' Sorbitan Olivate', ' Phenoxyethanol', ' Benzyl Alcohol', ' Amelanchier Alnifolia Fruit Extract', ' Ethylhexylglycerin', ' Acetyl Glucosamine', ' Citric Acid', ' Sorbitol', ' Rosmarinus Officinalis (Rosemary) Leaf Oil', ' Citrus Aurantium Amara (Bitter Orange) Flower Oil', ' Lavandula Angustifolia (Lavender) Oil', ' Citrus Aurantium Dulcis (Orange) Peel Oil', ' Hylocereus Undatus Fruit Extract', ' Dehydroacetic Acid', ' Tremella Fuciformis (Mushroom) Extract', ' Sodium Lauroyl Lactylate', ' Anthemis Nobilis Flower Oil', ' Pogostemon Cablin Leaf Oil', ' Vetiveria Zizanoides Root Oil', ' Ascorbic Acid', ' Disodium EDTA Ceteareth-25', ' Phytosphingosine', ' Cholesterol', ' Xanthan Gum', ' Carbomer', ' Cetyl Alcohol', ' Behenic Acid', ' Ceramide NS', ' Ferric Hexapeptide-35', ' Ceramide EOP', ' Ceramide EOS', ' Caprooyl Phytosphingosine', ' Caprooyl Sphingosine', ' Ascorbyl Palmitate', ' Tocopherol', ' Geraniol', ' Limonene', ' Linalool.']",Medik8,48g
27,PCA SKIN Nutrient Toner,$42.00,4.23,13,None,"['Water/Aqua/Eau', ' Lactobacillus/Pumpkin Ferment Extract', ' Sucrose', ' Propylene Glycol', ' Lactic Acid', ' Citric Acid', ' Glutathione', ' Aminoguanidine HCl', ' Yeast', ' Eugenia Caryophyllus (Clove) Leaf Oil', ' Cinnamomum Cassia Leaf Oil', ' Zingiber Officinale (Ginger) Root Oil', ' Alcohol Denat.']",PCA SKIN,None
28,Sulwhasoo Essential Refining Eye Cream 25ml,$114.00,None,None,None,"['Water/Aqua/Eau', ' Butylene Glycol', ' Betaine', ' Jojoba Esters', ' Peg-75', ' Glycerin', ' Hydrogenated Poly(C6-14 Olefin)', ' Cocos Nucifera (Coconut) Oil', ' Dimethicone', ' Hydrogenated Olive Oil Lauryl Esters', ' Helianthus Annuus (Sunflower) Seed Oil', ' Cyclopen-Tasiloxane', ' Polyglyceryl-10 Stearate', ' Cetearyl Alcohol', ' Peg-40 Stearate', ' Cyclohexasiloxane', ' Methoxy Peg-114/Polyepsilon Caprolac-Tone', ' Phenoxyethanol', ' Hydrogenated Lecithin', ' Arachidyl Alcohol', ' Propanediol', ' C12-16 Alcohols', ' Ginkgo Biloba Leaf Extract', ' Behenyl Alcohol', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Palmitic Acid', ' Arachidyl Glucoside', ' Honey / Mel / Miel', ' Fragrance / Parfum', ' Hydrolyzed Ginseng Saponins (Enzyme-Treated Red Ginseng Saponins)', ' Tromethamine', ' Lilium Candidum Bulb Extract', ' Paeonia Albiflo-Ra Root Extract', ' Rehmannia Glutinosa Root Extract', ' Nelumbo Nucifera Flower Extract', ' Polygonatum Officinale Rhizome/Root Extract', ' Camellia Sinensis Leaf Extract', ' Biosaccharide Gum-1', ' Disodium Edta', ' Ethylhexylglycerin', ' Limonene', ' Portulaca Oleracea Extract', ' Beta-Glucan', ' Glycyrrhiza Uralensis (Licorice) Root Extract', ' Linalool', ' Tocopherol', ' Glucose', ' Alpha-Isomethyl Ionone', ' Citronellol', ' Butyl-Phenyl Methylpropional.']",Sulwhasoo,25 ml / 0.84 oz
29,Elemis Superfood Facial Wash,$25.00,5.0,1,None,"['Aqua/Water/Eau', ' Sodium Lauroyl Sarcosinate', ' Glycerin', ' Cocamidopropyl Betaine', ' Acrylates Copolymer', ' Polysorbate 20', ' Sodium Lactate', ' Coco-Glucoside', ' Glyceryl Oleate', ' Dicaprylyl Ether', ' Lauryl Alcohol', ' Sodium Chloride', ' Phenoxyethanol', ' Xanthan Gum', ' Persea Gratissima (Avocado) Oil', ' Chlorphenesin', ' Sodium Hydroxide', ' Citric Acid', ' Fragrance (Parfum)', ' Alpha-Glucan Oligosaccharide', ' Brassica Oleracea Italica (Broccoli) Seed Oil', ' Cucurbita Pepo (Pumpkin) Seed Oil', ' Galactoarabinan', ' Disodium EDTA', ' Salvia Hispanica Seed Oil', ' Limonene', ' Citrus Aurantium Dulcis (Orange) Peel Oil', ' Sodium Dehydroacetate', ' Caramel', ' Amyris Balsamifera Bark Oil', ' Urtica Dioica (Nettle) Juice', ' Cymbopogon Martini Oil', ' Geraniol', ' Linalool', ' Rosmarinus Officinalis (Rosemary) Leaf Oil', ' Daucus Carota Sativa (Carrot) Seed Oil', ' Brassica Oleracea Acephala (Kale) Leaf Extract', ' Triticum Aestivum (Wheatgrass) Leaf Extract', ' Magnesium Aspartate', ' Zinc Gluconate', ' Maltodextrin', ' Polyglyceryl-3 Diisostearate', ' Chlorophyllin-Copper Complex', ' Hydrogenated Palm Glycerides Citrate', ' Tocopherol', ' Copper Gluconate', ' Sodium Benzoate', ' Potassium Sorbate', ' Ascorbic Acid.']",Elemis,5 fl. oz
30,SkinCeuticals MicroExfoliating Cleanser 150ml,$31.00,5.0,1,None,"['Aqua / Water / Eau', ' Hydrated Silica', ' Propylene Glycol', ' Glycerin', ' Cocamidopropyl Betaine', ' Sodium Laureth Sulfate', ' Triethanolamine', ' Carbomer', ' Phenoxyethanol', ' Sodium Chloride', ' Sodium Benzoate', ' Chlorphenesin', ' Disodium Edta', ' Aloe Barbadensis Leaf Juice Powder', ' Tocopheryl Acetate.']",SkinCeuticals,5 fl. oz
31,Sunday Riley Good Genes All-In-One Lactic Acid Treatment 1oz,$85.00,4.56,16,None,"['Opuntia Tuna Fruit (Prickly Pear) Extract', ' Agave Tequilana Leaf (Blue Agave) Extract', "" Cypripedium Pubescens (Lady's Slipper Orchid) Extract"", ' Opuntia Vulgaris (Cactus) Extract', ' Aloe Barbadensis Leaf Extract & Saccharomyses Cerevisiae (Yeast) Extract', ' Lactic Acid', ' Caprylic/Capric Triglyceride', ' Butylene Glycol', ' Squalane', ' Cyclomethicone', ' Dimethicone', ' Ppg-12/Smdi Copolymer', ' Stearic Acid', ' Cetearyl Alcohol And Ceteareth20', ' Glyceryl Stearate And Peg-100 Stearate', ' Arnica Montana (Flower) Extract', ' Peg-75 Meadowfoam Oil', ' Glycyrrhiza Glabra (Licorice) Root Extract', ' Cymbopogon Schoenanthus (Lemongrass) Oil', ' Triethanolamine', ' Xantham Gum', ' Phenoxyethanol', ' Steareth-20', ' Dmdm Hydantoin.']",Sunday Riley,1 fl. oz
32,Sunday Riley CEO 15% Vitamin C Brightening Serum 1oz,$85.00,5.0,6,None,"['Aqua (Water)', ' Tetrahexyldecyl Ascorbate', ' Squalane', ' Peg-8 Beeswax', ' Hydrogenated Polydecene', ' Polyglyceryl-6 Distearate', ' Ppg-12/Smdi Copolymer', ' Phenoxyethanol', ' Acetamidoethoxyethanol', ' Jojoba Esters', ' Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', ' Glycine Soja Sterols', ' Tocopherol', ' Glycolic Acid', ' Caprylyl Glycol', ' Sodium Phytate', ' Citrus Aurantium Dulcis (Sweet Orange) Oil', ' Chlorphenesin', ' Cera Alba', ' Glycerin', ' Isosqualane', ' C30 Hydrocarbons', ' Saccharide Isomerate.']",Sunday Riley,1 oz
33,DHC Deep Cleansing Oil,None,5.0,7,None,"['Olea Europaea (Olive) Fruit Oil', ' Caprylic/Capric Triglyceride', ' Sorbeth-30 Tetraoleate', ' Pentylene Glycol', ' Phenoxyethanol', ' Tocopherol', ' Stearyl Glycyrrhetinate', ' Rosmarinus Officinalis (Rosemary) Leaf Oil.']",DHC,None
34,Sulwhasoo Bloomstay Vitalizing Cream 50ml,$155.00,None,None,None,"['Water / Aqua / Eau', ' Butylene Glycol', ' Dimethicone', ' Glycerin', ' Squalane', ' Pe Ntaerythrityl Tetraethylhexanoate', ' Jojoba Esters', ' Cyclopentasiloxane', ' Su Crose Polystearate', ' Polyglyceryl-10 Stearate', ' Sucrose Stearate', ' 1', '2-Hexa Nediol', ' Dipalmitoyl Hydroxyproline', ' Polysilicone-11', ' Palmitic Acid', ' Stea Ric Acid', ' Niacinamide', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Hyd Rogenated Polyisobutene', ' Polyacrylate-13', ' Tromethamine', ' Fragrance / Parf Um', ' Polyisobutene', ' Dipotassium Glycyrrhizate', ' Methoxy Peg-114/Polyepsilo N Caprolactone', ' Citrus Junos Fruit Extract', ' Ethylhexylglycerin', ' Disodium Edta', ' Adenosine', ' Honey / Mel / Miel', ' Prunus Mume Fruit Extract', ' Sesamum Indicum (Sesame) Seed Extract', ' Pinus Koraiensis Seed Extract', ' Chaenomel Es Sinensis Fruit Extract', ' Rosa Multiflora Fruit Extract', ' Phenoxyethanol', ' Polysorbate 20', ' Sorbitan Isostearate', ' Lilium Candidum Bulb Extract', ' Ne Lumbo Nucifera Flower Extract', ' Rehmannia Glutinosa Root Extract', ' Polygon Atum Officinale Rhizome/Root Extract', ' Paeonia Albiflora Root Extract', ' Gl Ycyrrhiza Uralensis (Licorice) Root Extract', ' Poncirus Trifoliata Fruit E Xtract', ' Prunus Mume Flower Extract', ' Arachidic Acid', ' Myristic Acid', ' Tocop Herol', ' Iron Oxides (Ci 77491).']",Sulwhasoo,50 ml  / 1.69 oz
35,First Aid Beauty Ultra Repair Cream (6 oz.),$38.00,4.53,19,None,"['Colloidal Oatmeal', ' Water', ' Stearic Acid', ' Glycerin', ' C12-15 Alkyl Benzoate', ' Caprylic/Capric Triglyceride', ' Glyceryl Stearate', ' Glyceryl Stearate SE', ' Cetearyl Alcohol', ' Caprylyl Glycol', ' Phenoxyethanol', ' Butyrospermum Parkii (Shea Butter)', ' Squalane', ' Allantoin', ' Sodium Hydroxide', ' Dimethicone', ' Xanthum Gum', ' Disodium EDTA', ' Chrysanthemum Parthenium (Feverfew) Extract', ' Camellia Sinensis Leaf Extract', ' Butylene Glycol', ' Glycyrrhiza Glabra (Licorice) Root Extract', ' Eucalyptus Globulus', ' Ceramide 3.']",First Aid Beauty,None
