,0,1,2,3,4,5,6,7
10,Christophe Robin Regenerating Mask with Prickly Pear Oil 250ml,$69.00,5.0,2,None,"['Aqua (Water)', ' Cetearyl Alcohol', ' Caprylic/Capric Triglyceride', ' Cetyl Alcohol', ' Behentrimonium Chloride', ' Glycerin', ' Cetrimonium Chloride', ' Inula Crithmoide Leaf/Flower Extract', ' Opuntia Ficus Indica Seed Oil', ' Behenyl/Stearyl Aminopropanediol Esters', ' Opuntia Ficus Indica Fruit Extract', ' Linoleic Acid', ' Linolenic Acid', ' Tocopheryl Acetate', ' Citric Acid', ' Parfum (Fragrance)', ' Disodium Edta', ' Sodium Benzoate', ' Potassium Sorbate', ' Hydroxycitronellal', ' Coumarin', ' Limonene', ' Caramel', ' Tocopherol', ' Linalool', ' Geraniol']",Christophe Robin,250ml
11,Philip B Four Step Hair and Scalp Facial Treatment Set (Worth $127),$110.00,5.0,2,None,"['Rejuvenating Oil: Extra Virgin Olive Oil', ' Sesame Oil', ' Sweet Almond Oil', ' Jojoba Oil', ' English Walnut Oil', ' Lavender Oil', ' Bourbon Geranium Oil', ' Ylang Ylang Oil', ' Gardenia Oil.']",Philip B,Oil: 60ml / Shampoo: 200ml / Rinse: 178ml / Mist: 125ml
12,DHC Scalp Care Shampoo (550ml),$19.00,5.0,2,None,"['Water/Aqua/Eau', ' Sodium Laureth Sulfate', ' Cocamide MEA', ' Lauramidopropyl Betaine', ' Sodium Methyl Cocoyl Taurate', ' Alcohol', ' Decyl Glucoside', ' Glycol Distearate', ' Fragrance/Parfum', ' Sodium Benzoate', ' Phenoxyethanol', ' Lauric Acid', ' Menthol', ' Polyquaternium-10', ' Etidronic Acid', ' Dipotassium Glycyrrhizate', ' PPG-25 Butyl Ether Phosphate', ' Polyquaternium-7', ' Citric Acid', ' Polyquaternium-49', ' Capryloyl Glycine', ' Olea Europaea (Olive) Fruit Oil', ' Sodium Hydroxide', ' Butylene Glycol', ' Isostearic Acid', ' Isostearoyl Hydrolyzed Collagen', ' Camellia Sinensis Leaf Extract', ' Algae Extract', ' Eucalyptus Globulus Leaf Extract', ' Limonene', ' Linalool', ' Butylphenyl Methylpropional', ' Hexyl Cinnamal', ' Geraniol', ' Citronellol', ' Benzyl Benzoate.']",DHC,550ml
13,Miriam Quevedo Extreme Conditioner Balm 250ml,$45.00,None,None,None,"['Amino Acids', ' Omega Acids', ' Peptides', ' Vitamin A', ' Vitamin C', ' Vitamin E', ' Shea Butter']",Miriam Quevedo,250ml
14,First Aid Beauty Anti-Dandruff Scalp Serum with 2% Salicylic Acid,$32.00,None,None,None,['Active Ingredients:Salicylic Acid 2%'],First Aid Beauty,88.7ml
15,RAINCRY Regenerating Shampoo 8.0 fl. oz,$35.00,4.5,4,None,"['Aqua/Water/Eau', ' Sodium C14-16 Olefin Sulfonate', ' Cocamidopropyl Betaine', ' Polyquaternium 7', ' Glycol Distearate', ' Glycerine', ' Phytosterols (Gardenia Jasminoides) Stem Cells', ' CBD (Hemp Cannabidiol – THC Free)', ' Acacia Concinna (Shikakai) Extract', ' Cysteine Amino Acids', ' Matricaria Chamomilla (Chamomile) Extract', ' Keratin Amino Acids', ' Echinacea Angustifolia Extract', ' Helianthus Annus (Sunflower) Extract', ' Sodium Chloride', ' Phenoxyethanol', ' Citric Acid', ' Polyquaternium 10', ' Tetrasodium EDTA', ' Fragrance/Parfum.']",RAINCRY,8.0 fl. oz
16,Alterna Caviar Anti-Aging Smoothing Anti-Frizz Blowout Butter 5.0 oz,$34.00,None,None,None,"['Water', ' C32-36 Isoalkyl Stearate', ' Cetyl Alcohol', ' Glyceryl Stearate SE', ' Butylene Glycol', ' Lauryl Laurate', ' Isopropyl\xa0Palmitate', ' Phenyl Trimethicone', ' Isododecane', ' Cocos Nucifera (Coconut) Oil', ' Dimethicone', ' Algae Extract', ' Ascorbic Acid', ' Astrocaryum Murumuru Seed Butter', ' Behentrimonium Chloride', ' Bis-Cetearyl Amodimethicone', ' Bis-PEG-18 Methyl Ether\xa0Dimethyl Silane', ' Camellia Oleifera Seed Oil', ' Candelilla/ Jojoba/Rice Bran Polyglyceryl-3 Esters', ' Carthamus Tinctorius\xa0(Safflower) Seed Oil', ' Caviar Extract', ' Cetearyl Alcohol', ' Citric Acid', ' Copernicia Cerifera (Carnauba) Wax', ' Crambe\xa0Abyssinica Seed Oil', ' Disodium EDTA', ' Glyceryl Stearate', ' Glycerin', ' Helianthus Annuus (Sunflower) Seed Oil', ' Olea\xa0Europaea (Olive) Fruit Oil', ' Persea Gratissima (Avocado) Oil', ' Phospholipids', ' Polyacrylate-1 Crosspolymer', ' Polyquaternium-11', ' Polysilicone-15', ' Sodium Stearoyl Lactylate', ' Stearic Acid', ' Superoxide Dismutase', ' Theobroma\xa0Grandiflorum Seed Butter', ' Trichilia Emetica Seed Butter', ' Ethylhexylglycerin', ' Phenoxyethanol', ' Fragrance (Parfume) (10-17-7405).']",Alterna,150ml
17,The Ordinary 100% Cold Pressed Virgin Marula Oil 30ml,$9.90,5.0,2,None,['Sclerocarya Birrea Seed Oil.'],The Ordinary,30ml
18,Phyto Grey Hair Treatment RE30,$58.00,5.0,2,None,"['Aqua/Water/Eau', ' Alcohol Denat', ' Glycerin', ' Lecithin', ' Parfum/Fragrance', ' Phenoxyethanol', ' Panthenol', ' Pyridoxine HCL', ' Decyl Glucoside', ' Chlorphenesin', ' Triethanolamine', ' Ethyl Ester of Hydrolyzed Silk', ' Maltodextrin', ' Palmitoyl Tetrapeptide-20', ' Tulipa Gesneriana FLower Extract', ' Citric Acid', ' 1393A.']",Phyto,50ml
19,Grow Gorgeous Intense Thickening Shampoo 250ml,$18.00,5.0,1,None,"['Aqua/Water/Eau', ' Sodium Cocoyl Isethionate', ' Sodium Methyl Cocoyl Taurate', ' Cocamidopropyl Betaine', ' Fragrance (Parfum)', ' Caffeine', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Sodium Chloride', ' Inositol', ' Coconut Acid', ' Lauryl Glucoside', ' Panthenol', ' Niacinamide', ' Sodium Benzoate', ' Sodium PCA', ' Sodium Lactate', ' Hydrolyzed Rice Protein', ' Arginine', ' Potassium Sorbate', ' Sodium Isethionate', ' Glycerin', ' Aspartic Acid', ' Polyquaternium-10', ' PCA', ' Allantoin', ' Disodium EDTA', ' Phytantriol', ' Glycine', ' Alanine', ' Urea', ' Serine', ' Valine', ' Benzyl Alcohol', ' Butylphenyl Methylpropional', ' Disodium Phosphate', ' Limonene', ' Linalool', ' Isoleucine', ' Proline', ' Threonine', ' Biotin', ' Centella Asiatica (Gotu Kola) Extract', ' Histidine', ' Phenylalanine', ' Citric Acid', ' Sodium Hydroxide.']",Grow Gorgeous,250ml
20,VIRTUE Recovery Conditioner - Professional Size,$88.00,5.0,1,None,None,VIRTUE,17oz
21,Olaplex No.7 Bond Oil 1 oz,$28.00,4.5,2,None,"['Dimethicone', ' lsohexadecane', ' C13-14 lsoparaffin', ' Coco-Caprylate', ' Phenyl Trimethicone', ' Ethylhexyl Methoxycinnamate', ' Bis-Aminopropyl Diglycol Dimaleate', ' Propanediol', ' Zea Mays (Corn) Oil', ' Beta-Carotene', ' Helianthus Annuus (Sunflower) Seed Oil', ' Moringa Oleifera Seed Oil', ' Punica Granatum Seed Oil', ' Water (Aqua)', ' Marinda Citrifolia Fruit Powder', ' Fragrance', ' Hexyl Cinnamal', ' Eclipta Prostrata Extract', ' Limonene', ' Citral', ' Linalool', ' Melia Azadirachta Leaf Extract', ' Citronellol', ' Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate.']",Olaplex,1oz
22,Alterna Caviar Anti-Aging Replenishing Moisture Shampoo and Conditioner 16.5 oz (Worth $132),$104.00,5.0,2,None,['Shampoo:'],Alterna,2 x 16.5oz
23,Olaplex No.4 Bond Maintenance Shampoo 8.5 oz,$28.00,4.75,4,None,"['Water (Aqua)', ' Sodium Lauroyl Methyl Isethionate', ' Cocamidopropyl Hydroxysultaine', ' Potassium Cocoyl Glycinate', ' Disodium Cocoyl Glutamate', ' Sodium Lauroyl Sarcosinate', ' Potassium Cocoate', ' Decyl Glucoside', ' Glycereth-26', ' Bis-Aminopropyl Diglycol Dimaleate', ' Propanediol', ' Euterpe Oleracea Fruit Extract', ' Punica Granatum Extract', ' Rosmarinus Ofﬁcinalis (Rosemary) Leaf Extract', ' Musa Sapientum (Banana) Fruit Extract', ' Origanum Vulgare Leaf Extract', ' Morinda Citrifolia Fruit Extract', ' Arctium Lappa Root Extract', ' Fragrance (Parfum)', ' Cocamidopropylamine Oxide', ' Disodium Laureth Sulfosuccinate', ' Panthenol', ' Glycol Distearate', ' Sodium Cocoyl Glutamate', ' Methyl Gluceth-20', ' Acrylates Copolymer', ' Prunus Armeniaca (Apricot) Kernel Oil', ' Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate', ' Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate', ' PEG-120 Methyl Glucose Dioleate', ' Amodimethicone', ' Sodium Lauryl Sulfoacetate', ' Guar Hydroxypropyltrimonium Chloride', ' Polyquaternium-10', ' Divinyldimethicone/Dimethicone Copolymer', ' Polyquaternium-11', ' Trisodium Ethylenediamine Disuccinate', ' C11-15 Pareth-7', ' Laureth-9', ' Glycerin', ' Trideceth-12', ' Hexyl Cinnamal', ' Limonene', ' C12-13 Pareth-23', ' C12-13 Pareth-3', ' Hydrolyzed Vegetable Protein PG-Propyl Silanetriol', ' Acetic Acid', ' Citral', ' Benzoic Acid', ' Tetrasodium EDTA', ' Pentasodium Triphosphate', ' Sodium Polyacrylate', ' Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate', ' Disodium EDTA', ' Sodium Benzoate', ' Potassium Sorbate', ' Phenoxyethanol', ' Chlorphenesin', ' Ethylhexylglycerin', ' Quaternium-95', ' PEG-8', ' PEG-8/SMDI Copolymer', ' Palmitoyl Myristyl Serinate', ' Citric Acid', ' Sodium Hyaluronate', ' Tocopherol', ' Biotin', ' Helianthus Annuus (Sunﬂower) Seed Extract', ' Helianthus Annuus (Sunﬂower) Seed Oil']",Olaplex,8.5oz
24,Miriam Quevedo Black Baccara Hair Multiplying Scalp Concentrate Pre-Treatment Exfoliator 2 Piece,$100.00,None,None,None,"['PRE-TREATMENT EXFOLIATOR: Amino Acids', ' Omega Acids', ' Peptides', ' Keratin', ' Vitamin A', ' Vitamin C', ' Vitamin E', ' Plant Stem Cells', ' Salicylic Acid', ' Caffeine; SCALP CONCENTRATE: Amino Acids', ' Omega Acids', ' Peptides', ' Keratin', ' Vitamin A', ' Vitamin C', ' Vitamin E', ' Plant Stem Cells', ' Activated Charcoal']",Miriam Quevedo,10ml
25,The Ordinary 100% Organic Cold-Pressed Argan Oil 30ml,$6.80,5.0,1,None,['Argania Spinosa Kernel Oil'],The Ordinary,30ml
26,"T3 Lucea ID 1"" Smart Straightening & Styling Flat Iron with Touch Screen",$249.00,5.0,2,None,None,T3,None
27,Grow Gorgeous Hair Density Serum Intense Duo 2 x 60ml,$100.00,None,None,None,"['Aqua/Water/Eau', ' Butylene Glycol', ' Caffeine', ' Maltodextrin', ' Dimethyl Isosorbide', ' Propanediol', ' Glycerin', ' PPG-26-Buteth-26', ' Fragrance (Parfum)', ' Phenoxyethanol', ' PEG-40 Hydrogenated Castor Oil', ' Polyacrylate Crosspolymer-6', ' Arginine', ' Xanthan Gum', ' Hydroxyethylcellulose', ' Lactic Acid', ' Glycine Soja (Soybean) Germ Extract', ' Triticum Vulgare (Wheat) Germ Extract', ' Chlorphenesin', ' Allantoin', ' Sodium Benzoate', ' Hydrolyzed Hyaluronic Acid', ' Pisum Sativum (Pea) Sprout Extract', ' Gluconolactone', ' Trisodium Ethylenediamine Disuccinate', ' Scutellaria Baicalensis (Baikal Skullcap) Root Extract', ' Glycine', ' Larix Europaea (Larch) Wood Extract', ' T-Butyl Alcohol', ' Citric Acid', ' Dextran', ' Butylphenyl Methylpropional', ' Limonene', ' Linalool', ' Rhizobian Gum', ' Sodium Hyaluronate', ' Alpha-Isomethyl Ionone', ' Cinnamyl Alcohol', ' Zinc Chloride', ' Camellia Sinensis (Green Tea) Leaf Extract', ' Acetyl Tetrapeptide-3', ' Trifolium Pratense (Clover) Flower Extract', ' Sodium Hydroxide', ' Calcium Gluconate.']",Grow Gorgeous,2 x 60ml
28,Phyto Phytolium 4 Chronic Thinning Hair Treatment 12x0.118 fl oz,$69.00,4.25,4,None,"['Rosmarinus Officinalis (Rosemary) Leaf Water (Eau Florale De Romarin)', ' Alcohol Denat', ' (Alcool De Betterave)', ' Water /Aqua', ' Glycerin (Dérivé D’huile De Palme)', ' Citrus Medica Limonum (Lemon) Peel Oil (Citron)', ' Butylene Glycol', ' Pentylene Glycol', ' Cupressus Sempervirens Leaf/Nut/Stem Oil (Cyprès)', ' Fragrance / Parfum', ' Melaleuca Leucadendron Cajaput Oil (Cajeput)', ' Rosmarinus Officinalis (Rosemary) Leaf Oil (Romarin)', ' Salvia Officinalis (Sage) Oil (Sauge)', ' Serenoa Serrulata Fruit Extract (Serenoa Repens)', ' Malus Domestica Fruit Cell Culture Extract (Extrait De Pommier Sauvage)', ' Limonene', ' Cananga Odorata Flower Oil (Ylang-Ylang)', ' Lentinus Edodes Extract (Shiitaké)', ' Vitis Vinifera (Grape) Seed Extract (Opc De Raisin)', ' Linalool', ' Isoeugenol', ' Geraniol', ' Eugenol', ' Farnesol', ' Benzyl Benzoate', ' Xanthan Gum', ' Glycoproteins (Pomme De Terre)', ' Methylsilanol Mannuronate', ' Acetyl Tetrapeptide-2', ' Dextran', ' Potassium Sorbate', ' Sodium Benzoate', ' Sorbic Acid.']",Phyto,None
29,VIRTUE Flourish Nightly Intensive Hair Growth Treatment Hair Kit 4 piece,$134.00,None,None,None,"['FLOURISH® SHAMPOO: Aqua (Water', ' Eau)', ' Sodium Lauroyl Methyl Isethionate', ' Sodium Cocoyl Isethionate', ' Lauryl Glucoside', ' Acrylates Copolymer', ' Keratin', ' Trifolium Pratense (Clover) Flower Extract', ' Camellia Sinensis Leaf Extract', ' Larix Europaea Wood Extract', ' Sodium Hyaluronate', ' Tocopherol', ' Acetyl Tetrapeptide-3', ' Rice Oil Glycereth-8 Esters', ' Sodium Phytate', ' Cocamide MIPA', ' Polysorbate 20', ' Hydrogenated Coconut Acid', ' Sodium Isethionate', ' Sodium Methyl Cocoyl Taurate', ' Caprylyl Glycol', ' Guar Hydroxypropyltrimonium Chloride', ' Trisodium Ethylenediamine Disuccinate', ' Ethylhexylglycerin', ' Hexylene Glycol', ' Glycerin', ' Butylene Glycol', ' Sodium Dilauramidoglutamide Lysine', ' Isopropanolamine', ' Coconut Acid', ' Dextran', ' Chondrus Crispus Extract', ' Ethylhexyl Salicylate', ' Sodium Metabisulfite', ' Glycine', ' Gluconolactone', ' Zinc Chloride', ' Phenoxyethanol', ' Parfum (Fragrance)', ' Potassium Sorbate', ' Sodium Hydroxide', ' Citric Acid', ' Sodium Benzoate', ' Sodium Chloride', ' Linalool', ' Geraniol', ' Limonene', ' Citronellol.\n                              FLOURISH® CONDITIONER: Aqua (Water', ' Eau)', ' Cetearyl Alcohol', ' Dimethicone', ' Brassicamidopropyl Dimethylamine', ' Cetyl Esters', ' Cetyl Alcohol', ' Behentrimonium Chloride', ' Isododecane', ' Ethylhexylglycerin', ' PEG-100 Stearate', ' Glyceryl Stearate', ' Keratin', ' Acetyl Tetrapeptide-3', ' Biotin', ' Silybum Marianum Ethyl Ester', ' Saccharomyces Lysate Extract', ' Panthenol', ' Tocopheryl Nicotinate', ' Cyperus Esculentus Root Oil', ' Tocopherol', ' Madecassoside', ' Quercus Petraea Fruit Extract', ' Citrus Paradisi (Grapefruit) Fruit Extract', ' Asiaticoside', ' Hydrolyzed Adansonia Digitata Seed Extract', ' Amaranthus Hypochondriacus Leaf Extract', ' Trifolium Pratense (Clover) Flower Extract', ' Larix Europaea Wood Extract', ' Glycine', ' Hydrolyzed Vegetable Protein', ' Hydrolyzed Quinoa', ' Oryza Sativa (Rice) Extract', ' Hydrolyzed Linseed Extract', ' Camellia Sinensis Leaf Extract', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Hydrogenated Ethylhexyl Olivate', ' Oryza Sativa (Rice) Bran Extract', ' Hydrogenated Olive Oil Unsaponifiables', ' Jojoba Esters', ' Helianthus Annuus (Sunflower) Seed Oil', ' Oryza Sativa (Rice) Seed Protein', ' Phytic Acid', ' Tetrasodium Glutamate Diacetate', ' Butylene Glycol', ' Sodium Dilauramidoglutamide Lysine', ' Dextran', '\n                              Disodium Phosphate', ' Caprylyl Glycol', ' Propanediol', ' Parfum (Fragrance)', ' Hydroxyethylcellulose', ' Polysorbate 60', ' Benzyl Alcohol', ' Polysorbate 20', ' Sorbic Acid', ' Benzoic Acid', ' Glycerin', ' Phenoxyethanol', ' Dimethiconol', ' Chlorphenesin', ' Sodium Metabisulfite', ' Gluconolactone', ' Zinc Chloride', ' Sodium Hydroxide', ' Alcohol', ' Citric Acid', ' Tetrasodium EDTA', ' Sodium Benzoate', ' Sodium Phosphate', ' Potassium Sorbate', ' Calcium Gluconate', ' BHT', ' Linalool', ' Citronellol', ' Geraniol', ' Limonene.MINOXIDIL: ACTIVE INGREDIENT: Minoxidil 5% w/w (without propellant)INACTIVE INGREDIENTS: Butylated Hydroxytoluene', ' Cetyl Alcohol', ' Citric Acid Anhydrous', ' Dehydrated Alcohol', ' Isobutane', ' Lactic\n                              Acid', ' N-butane', ' Polysorbate 60', ' Propane', ' Purified Water', ' Stearyl Alcohol.']",VIRTUE,20oz
30,Philip B Russian Amber Imperial Gold Masque 8 oz,$225.00,5.0,1,None,"['Water (Aqua)', ' Mica', ' Glycerin', ' Cetearyl Alcohol', ' Carthamus Tinctorius Oleosomes', ' Stearalkonium Chloride', ' Behentrimonium Chloride', ' Cetyl Esters', ' Glyceryl Stearate', ' PEG-100 Stearate', ' Sodium Hyaluronate', ' Panthenol', ' Zea Mays (Corn) Oil', ' Argania Spinosa Kernel Oil', ' Pyrus Malus (Apple) Fruit Extract', ' Butyrospermum Parkii (Shea) Butter', ' Pisum Sativum (Pea) Peptide', ' PCA', ' Sodium PCA', ' Algin', ' Histidine', ' Phenylalanine', ' Serine', ' Glycine', ' Alanine', ' Isoleucine', ' Proline', ' Threonine', ' Valine', ' Glycolic Acid', ' Sodium Lactate', ' Trehalose', ' Arginine', ' Aspartic Acid', ' Polysilicone-29', ' Polyquaternium-37', ' Trideceth-10', ' Silicone Quaternium-8', ' Gluconolactone', ' PPG-1 Trideceth-6', ' Steapyrium Chloride', ' Hydroxyethylcellulose', ' Glyceryl Polyacrylate', ' Acrylates/Stearyl Methacrylate Copolymer', ' Propylene Glycol Dicaprylate/Dicaprate', ' Ethylhexylglycerin', ' Urea', ' Pullulan', ' Disodium EDTA', ' Polysorbate 60', ' Caprylyl Glycol', ' Dipropylene Glycol', ' Hexylene Glycol', ' Potassium Phosphate', ' Sodium Phosphate', ' DisodiumPhosphate', ' Tin Oxide', ' BHT', ' Citric Acid', ' Alcohol Denat.', ' PentyleneGlycol', ' Pentasodium Pentetate', ' Sodium Benzoate', ' Leuconostoc/Radish Root Ferment Filtrate', ' Phenoxyethanol', ' Benzyl Benzoate', 'Benzyl Salicylate', ' Alpha-Isomethyl Ionone', ' Hexyl Cinnamal', 'Coumarin', ' Fragrance (Parfum)', ' Iron Oxides (CI 77491)', 'Titanium Dioxide (CI 77891).']",Philip B,8oz
31,Tangle Teezer The Ultimate Detangler Hairbrush - Millennial Pink,$10.50,5.0,2,None,None,Tangle Teezer,None
32,T3 Source Shower Filter Refill for Showerhead Unit,$25.00,None,None,None,None,T3,None
